"","condition","observe","expect","z_score","log2FC","upper.p","lower.p"
"0_175000","0_175000",52630,52675.381,-0.682951544941713,-0.00124344923463241,0.752681269281756,0.247318730718244
"0_176000","0_176000",52633,52679.9952,-0.707531232781972,-0.00128758557017988,0.760381794765198,0.239618205234802
"0_177000","0_177000",52634,52684.6166,-0.762279890360804,-0.00138673153496521,0.777053513297334,0.222946486702666
"0_178000","0_178000",52634,52689.1659,-0.831348171412451,-0.00151130241773842,0.797111515521644,0.202888484478356
"0_179000","0_179000",52637,52693.6956,-0.854605678738868,-0.00155309842764541,0.803615258616872,0.196384741383128
"0_180000","0_180000",52638,52698.1216,-0.906606249898653,-0.00164686419570996,0.817692472234665,0.182307527765335
"0_181000","0_181000",52638,52702.5055,-0.973049655280239,-0.00176687545119142,0.834735688105658,0.165264311894342
"0_182000","0_182000",52640,52706.7748,-1.00767754353415,-0.00182892520252278,0.843195355467156,0.156804644532844
"0_183000","0_183000",52640,52711.0068,-1.07144081046043,-0.00194475927384657,0.858014364412166,0.141985635587834
"0_184000","0_184000",52642,52715.1821,-1.10447862463045,-0.00200421969584767,0.865307214538764,0.134692785461236
"0_185000","0_185000",52643,52719.3219,-1.15166246655211,-0.00209010667028734,0.875270099302208,0.124729900697792
"0_186000","0_186000",52644,52723.3174,-1.19747539003123,-0.00217203672019827,0.884439342894551,0.115560657105449
"0_187000","0_187000",52646,52727.2787,-1.22739932978677,-0.00222561928644337,0.890163730904644,0.109836269095356
"0_188000","0_188000",52650,52731.2623,-1.22763951761893,-0.00222500163501987,0.890208839858106,0.109791160141894
"0_189000","0_189000",52652,52735.2352,-1.25743480477578,-0.00227889146172906,0.895701883598254,0.104298116401746
"0_190000","0_190000",52653,52739.1587,-1.30187677955179,-0.00235882362489575,0.903520744266492,0.0964792557335076
"0_191000","0_191000",52654,52743.0009,-1.34557245207902,-0.00243652450236557,0.910779779575167,0.0892202204248332
"0_192000","0_192000",52655,52746.8681,-1.38964695929223,-0.00251490202663951,0.917681945715973,0.0823180542840273
"0_193000","0_193000",52656,52750.7212,-1.43239929623131,-0.00259288669138513,0.923985210073413,0.0760147899265866
"0_194000","0_194000",52658,52754.6025,-1.46168465843707,-0.00264423766034334,0.928086178391604,0.0719138216083964
"0_195000","0_195000",52662,52758.4671,-1.45996781074052,-0.00264033445217952,0.927850539593526,0.0721494604064742
"0_196000","0_196000",52663,52762.2261,-1.50202989271438,-0.00271572658581605,0.933455305526274,0.0665446944737264
"0_197000","0_197000",52664,52765.9383,-1.54290304484988,-0.00278983233959423,0.93857284902582,0.06142715097418
"0_198000","0_198000",52665,52769.5427,-1.58283127619586,-0.00286098427358501,0.943270036996935,0.0567299630030648
"0_199000","0_199000",52667,52773.1982,-1.60868250146341,-0.00290613392073137,0.946157108017081,0.0538428919829189
"0_2e+05","0_2e+05",52668,52776.7243,-1.64813514924958,-0.00297513346568564,0.950337529548782,0.0496624704512176
"0_201000","0_201000",52669,52780.1208,-1.68508651588938,-0.00304058460088083,0.95401405959674,0.0459859404032604
"0_202000","0_202000",52671,52783.3653,-1.70492250212698,-0.00307448481564034,0.955895560489058,0.044104439510942
"0_203000","0_203000",52674,52786.4976,-1.70792485622784,-0.00307792576151536,0.956174856798333,0.0438251432016671
"0_204000","0_204000",52675,52789.6057,-1.73997019672108,-0.00313548112244625,0.959067874342566,0.0409321256574343
"0_205000","0_205000",52676,52792.6934,-1.77171025639967,-0.00319247452026674,0.961778666876617,0.0382213331233828
"0_206000","0_206000",52676,52795.7546,-1.81884435092808,-0.0032761271952339,0.965532410066217,0.034467589933783
"0_207000","0_207000",52678,52798.7535,-1.83480493452452,-0.00330329756934666,0.966732701386926,0.0332672986130745
"0_208000","0_208000",52679,52801.6772,-1.86419810795396,-0.00335579695860161,0.968853055507514,0.031146944492486
"0_209000","0_209000",52685,52804.6411,-1.8182444220266,-0.00327246720842071,0.965486608384495,0.0345133916155048
"0_210000","0_210000",52688,52807.5703,-1.81673492445984,-0.00327034684441911,0.965371144306738,0.0346288556932616
"0_211000","0_211000",52690,52810.4764,-1.83105114954249,-0.00329497621826824,0.966453545548369,0.033546454451631
"0_212000","0_212000",52690,52813.3419,-1.87467915216007,-0.00337325482449959,0.96958156166725,0.0304184383327503
"0_213000","0_213000",52690,52816.2055,-1.91866471990053,-0.00345147728444159,0.972486610427012,0.0275133895729877
"0_214000","0_214000",52690,52819.0239,-1.9622888125404,-0.0035284609143785,0.97513556552044,0.0248644344795596
"0_215000","0_215000",52691,52821.7395,-1.98874756963206,-0.00357525215860336,0.976635463742644,0.0233645362573556
"0_216000","0_216000",52692,52824.3437,-2.01340214219395,-0.00361899764734991,0.977963829783335,0.0220361702166649
"0_217000","0_217000",52694,52826.9565,-2.02315182847577,-0.00363559601950828,0.978471251797335,0.0215287482026654
"0_218000","0_218000",52694,52829.5332,-2.06230270306125,-0.00370596353452132,0.98041053707532,0.0195894629246799
"0_219000","0_219000",52696,52832.0797,-2.07157295744679,-0.00372074651090037,0.980847357982026,0.0191526420179739
"0_220000","0_220000",52697,52834.5225,-2.09429581211791,-0.0037600735091948,0.981883181412654,0.0181168185873456
"0_221000","0_221000",52699,52836.9668,-2.10162687463384,-0.00377206250329788,0.982207013108461,0.0177929868915391
"0_222000","0_222000",52699,52839.3555,-2.13899280154312,-0.00383728365349973,0.98378187431645,0.0162181256835502
"0_223000","0_223000",52700,52841.7218,-2.15952403778316,-0.00387451440905958,0.984595232742321,0.015404767257679
"0_224000","0_224000",52701,52844.0467,-2.17973009273792,-0.00391061253026288,0.985361262731892,0.014638737268108
"0_225000","0_225000",52702,52846.4107,-2.20079304407444,-0.00394777579995984,0.986124660871766,0.0138753391282338
"0_226000","0_226000",52703,52848.7492,-2.22210558985161,-0.00398424058888202,0.986861914697485,0.0131380853025149
"0_227000","0_227000",52704,52851.0586,-2.24273895850327,-0.00401990871913237,0.987543173595841,0.0124568264041593
"0_228000","0_228000",52704,52853.3765,-2.27854396976706,-0.00408317991172984,0.988652906055271,0.0113470939447294
"0_229000","0_229000",52704,52855.6653,-2.31339964443583,-0.0041456540455198,0.98964966168753,0.0103503383124703
"0_230000","0_230000",52704,52857.8488,-2.3464453254616,-0.00420525143283668,0.990523276632244,0.00947672336775551
"0_231000","0_231000",52704,52859.9873,-2.37948461267647,-0.00426361818454444,0.991331566590584,0.00866843340941609
"0_232000","0_232000",52707,52862.0988,-2.36610802292719,-0.00423912741784788,0.991011900741633,0.00898809925836722
"0_233000","0_233000",52708,52864.1641,-2.38275134427517,-0.00426812008408931,0.991408101531642,0.00859189846835841
"0_234000","0_234000",52708,52866.2574,-2.41442879963715,-0.00432524637729123,0.99212004857952,0.00787995142047997
"0_235000","0_235000",52709,52868.3396,-2.43021557869447,-0.00435469630402901,0.99245507778838,0.00754492221161948
"0_236000","0_236000",52709,52870.4311,-2.46225541088881,-0.00441176896826449,0.99309668464598,0.00690331535402037
"0_237000","0_237000",52710,52872.5021,-2.47910029383318,-0.00444090932225239,0.993414286794437,0.00658571320556298
"0_238000","0_238000",52710,52874.6136,-2.51170322641247,-0.00449852319775293,0.993992495851303,0.00600750414869678
"0_239000","0_239000",52711,52876.7277,-2.52933963393085,-0.00452883554704141,0.994286130808585,0.00571386919141541
"0_240000","0_240000",52711,52878.827,-2.56189890626055,-0.00458611196544463,0.994794919224158,0.00520508077584241
"0_241000","0_241000",52711,52880.8644,-2.5934946472053,-0.00464169735601767,0.995249699095792,0.0047503009042081
"0_242000","0_242000",52711,52882.8721,-2.62347485478968,-0.00469647036101522,0.995648106521553,0.00435189347844689
"0_243000","0_243000",52712,52884.8462,-2.63947461926242,-0.00472295503617679,0.995848267972271,0.00415173202772942
"0_244000","0_244000",52714,52886.8261,-2.63996513532167,-0.00472222783146471,0.995854272171106,0.00414572782889405
"0_245000","0_245000",52715,52888.7974,-2.65561794492175,-0.00474863365988134,0.996041837745645,0.00395816225435525
"0_246000","0_246000",52715,52890.7709,-2.68599277022065,-0.00480246558053063,0.996384267322726,0.00361573267727428
"0_247000","0_247000",52716,52892.7494,-2.70175471293241,-0.00482906430369913,0.996551268688597,0.00344873131140279
"0_248000","0_248000",52717,52894.637,-2.71533741079911,-0.00485318224265123,0.996689586128719,0.00331041387128053
"0_249000","0_249000",52717,52896.5345,-2.74531676970194,-0.00490493540506661,0.996977374255518,0.00302262574448226
"0_250000","0_250000",52717,52898.3991,-2.77501893877637,-0.00495578943147386,0.997240075332873,0.00275992466712743
"0_251000","0_251000",52718,52900.2734,-2.78810113284423,-0.00497953967365768,0.997349100499782,0.00265089950021819
"0_252000","0_252000",52718,52902.1156,-2.81551675761835,-0.00502977923497028,0.99756505714507,0.00243494285493025
"0_253000","0_253000",52718,52903.9729,-2.84418331068864,-0.00508042882494594,0.997773728827569,0.00222627117243129
"0_254000","0_254000",52719,52905.845,-2.85792982705713,-0.00510411420879651,0.997867926599555,0.00213207340044492
"0_255000","0_255000",52720,52907.7367,-2.87100829057706,-0.00512833276073307,0.997954176031725,0.00204582396827481
"0_256000","0_256000",52721,52909.6069,-2.88438848852184,-0.00515196374344569,0.998039126885379,0.00196087311462063
"0_257000","0_257000",52723,52911.4373,-2.88341668674147,-0.00514714431283787,0.998033066541518,0.00196693345848184
